OrderID,Date,CustomerName,Item,Quantity,Price,PaymentType,Notes
1,,UNKNOWN,,,,Cash,Extra sugar
2,2025/12/04,Eve,Tea,1,,Online,No ice
"3,""Dec 3, 2025"",UNKNOWN,Cake,Two,3.50,Cash,Spilled order"
4,2025/12/04,UNKNOWN,Tea,,5.00,,Extra sugar
5,2025/12/04,,ERROR,,,Online,
6,12/02/2025,Unknown,Juice,Two,N/A,Online,UNKNOWN
"7,""Dec 3, 2025"",David,Juice,,,Card,"
"8,""Dec 3, 2025"",UNKNOWN,Cake,,N/A,Card,"
"9,""Dec 3, 2025"",Charlie,,,3.50,Cash,Spilled order"
10,2025/12/04,UNKNOWN,Tea,ERROR,3.50,Online,Extra sugar
11,,UNKNOWN,Juice,2,,Card,No ice
"12,""Dec 3, 2025"",UNKNOWN,ERROR,Two,2.75,,"
13,UNKNOWN,,Sandwich,,N/A,Card,Extra sugar
14,2025/12/04,Unknown,Coffee,ERROR,5.00,Card,Spilled order
15,12/02/2025,,Coffee,Two,,Online,
16,,Alice,Coffee,3,5.00,Online,
17,UNKNOWN,,,3,,UNKNOWN,UNKNOWN
18,UNKNOWN,Charlie,Tea,,2.75,,Extra sugar
19,12/02/2025,Charlie,Cake,ERROR,2.75,Online,UNKNOWN
20,,,Juice,ERROR,2.75,Cash,Extra sugar
21,2025/12/04,Unknown,Sandwich,Two,ERROR,,Extra sugar
22,2025-12-01,Eve,ERROR,Two,2.75,,Spilled order
23,,David,Sandwich,ERROR,3.50,Online,Spilled order
24,12/02/2025,Unknown,ERROR,Two,3.50,,Spilled order
25,UNKNOWN,,,ERROR,ERROR,Online,No ice
26,2025/12/04,UNKNOWN,Tea,2,N/A,Card,Extra sugar
27,,Bob,Coffee,ERROR,5.00,UNKNOWN,
28,2025-12-01,David,Tea,3,,Card,UNKNOWN
29,2025-12-01,David,,Two,,Online,Spilled order
"30,""Dec 3, 2025"",Charlie,Cake,ERROR,ERROR,Online,Spilled order"
